(10000, 52.18646574020386, 41702.021381109065, 245578.14058880077, 0.122, 3.625),
(20000, 43.883750677108765, 36251.706422797979, 327869.01436697895, 0.341, 2.188),
(30000, 42.838417530059814, 32012.863356505841, 371803.23901037587, 0.454, 1.736),
(40000, 43.97564172744751, 28356.373273355919, 402789.62266485713, 0.439, 1.741),
(50000, 42.844855070114136, 24565.963889084593, 428713.73415386421, 0.487, 1.596),
(60000, 42.82666277885437, 21106.55695542297, 450626.01861071424, 0.496, 1.576),
(70000, 42.78354263305664, 18020.00757725149, 468307.47737039329, 0.554, 1.278),
(80000, 52.18646574020386, 41702.021381109065, 485532.34682662244, 0.502, 1.477),
(90000, 43.883750677108765, 36251.706422797979, 501013.98813480989, 0.536, 1.322),
(100000, 52.18646574020386, 41702.021381109065, 512498.52057235414, 0.552, 1.27),
(110000, 43.883750677108765, 36251.706422797979, 523979.52903950826, 0.562, 1.2),
(120000, 52.18646574020386, 41702.021381109065, 532667.14165076171, 0.561, 1.233),
(130000, 43.883750677108765, 36251.706422797979, 538634.7669930805, 0.587, 1.136),
(140000, 42.838417530059814, 32012.863356505841, 544824.78557170578, 0.596, 1.036),
(150000, 43.97564172744751, 28356.373273355919, 549456.38149411546, 0.594, 1.069),
