(10000, 36.185338497161865, 28614.344653145225, 135923.9210658673, 0.193, 1.836),
(20000, 34.124704360961914, 22536.542920712749, 171179.01221503649, 0.283, 1.504),
(30000, 34.69615173339844, 17574.713518412242, 187537.81514666529, 0.281, 1.531),
(40000, 34.367035150527954, 14506.581677285252, 198484.39611743187, 0.271, 1.656),
(50000, 34.445387840270996, 12273.778675443426, 206453.01604869409, 0.292, 1.507),
(60000, 34.51327061653137, 10527.143834555973, 213635.19556236311, 0.333, 1.37),
(70000, 34.677245140075684, 9007.1142265422186, 218011.45573322129, 0.345, 1.395),
(80000, 34.68250560760498, 7842.1483659449232, 222746.00818649997, 0.342, 1.357),
(90000, 34.743165731430054, 7072.3296733698116, 226767.04743816581, 0.369, 1.311),
(100000, 34.75866341590881, 5969.2235204556764, 229526.63525483225, 0.384, 1.236),
