(10000, 44.85608983039856, 39231.167969103844, 202861.1696733108, 0.289, 1.582),
(20000, 39.40744471549988, 32210.000982713704, 254005.80019992194, 0.268, 1.651),
(30000, 39.392295837402344, 27475.227034178155, 284848.69488708884, 0.477, 1.063),
(40000, 39.365668058395386, 23341.345507862701, 307009.36615799071, 0.426, 1.335),
(50000, 39.85928726196289, 19138.359705563791, 322829.31300790311, 0.498, 0.981),
(60000, 39.970113039016724, 16539.073454031321, 339032.96446510626, 0.505, 1.053),
(70000, 40.16798973083496, 14151.577739712042, 349131.46027670719, 0.395, 1.262),
(80000, 40.238720417022705, 12192.999811285248, 358335.01400332397, 0.534, 0.956),
(90000, 40.30578255653381, 10576.575800659746, 369130.14520375693, 0.506, 1.034),
(100000, 41.16267538070679, 8004.8416681994904, 374901.38295519998, 0.509, 1.046),
