(10000, 44.245612144470215, 31687.141839092634, 132451.19592792823, 0.636, 1.442),
(20000, 38.59767770767212, 25583.499029015318, 155036.27133930035, 0.793, 0.681),
(30000, 40.15323209762573, 20394.701101721483, 163040.38937407464, 0.836, 0.523),
(40000, 39.327356576919556, 15212.178387246531, 165694.90779779377, 0.821, 0.536),
(50000, 39.73679208755493, 10636.847782936578, 166565.20154230931, 0.858, 0.449),
(60000, 39.77746844291687, 8243.5072409892018, 166830.88904017792, 0.863, 0.452),
(70000, 39.83865141868591, 6382.7729202095743, 167546.57826617625, 0.867, 0.426),
(80000, 44.245612144470215, 31687.141839092634, 176492.13039835991, 0.839, 0.553),
(90000, 38.59767770767212, 25583.499029015318, 178970.46719923677, 0.858, 0.429),
(100000, 40.15323209762573, 20394.701101721483, 178972.46948502999, 0.875, 0.378),
(110000, 39.327356576919556, 15212.178387246531, 179485.86658497353, 0.87, 0.376),
(120000, 39.73679208755493, 10636.847782936578, 181358.15370171584, 0.778, 0.506),
