(10000, 37.81400656700134, 23379.303305123496, 84737.735063031869, 0.78, 0.34),
(20000, 33.87367510795593, 15882.175650878935, 97404.247679548411, 0.78, 0.34),
(30000, 34.163333892822266, 11176.54572420395, 101209.93856383616, 0.8, 0.32),
(40000, 34.43580865859985, 8272.5478119241361, 102326.54086445703, 0.78, 0.34),
(50000, 34.38708019256592, 6702.8096279380015, 103800.91244461425, 0.82, 0.28),
(60000, 34.177735328674316, 5500.2672449797092, 104162.55227437642, 0.82, 0.24),
(70000, 37.81400656700134, 23379.303305123496, 105192.51936008243, 0.82, 0.24),
(80000, 33.87367510795593, 15882.175650878935, 105885.475297193, 0.84, 0.26),
(90000, 34.163333892822266, 11176.54572420395, 106273.13912828969, 0.8, 0.34),
(100000, 34.43580865859985, 8272.5478119241361, 106993.69139194071, 0.82, 0.22),
(110000, 34.38708019256592, 6702.8096279380015, 106993.68633745865, 0.86, 0.18),
(120000, 34.177735328674316, 5500.2672449797092, 110141.82899385717, 0.84, 0.22),
