(10000, 44.607160568237305, 37343.753637499969, 190525.04726074619, 0.21, 2.203),
(20000, 40.31192231178284, 30154.097370723739, 256198.18839055247, 0.302, 1.774),
(30000, 39.791170835494995, 25161.922951966586, 292890.92752178287, 0.357, 1.467),
(40000, 40.689470291137695, 20602.186764998307, 318396.69336039707, 0.373, 1.388),
(50000, 41.2155327796936, 17505.72561711695, 332600.87314218382, 0.392, 1.293),
(60000, 40.615464210510254, 14820.898084235987, 341228.75262014475, 0.416, 1.414),
(70000, 39.60722637176514, 13135.734969239569, 350488.34667933168, 0.397, 1.342),
(80000, 40.37602496147156, 11668.9434837438, 356907.01474353857, 0.412, 1.231),
(90000, 40.78298807144165, 9816.9478709200212, 363173.76947949897, 0.425, 1.183),
(100000, 40.07893896102905, 10314.83651030032, 366748.26442596625, 0.409, 1.247),
