(10000, 400.1911175251007, 176484.93572076733, 176484.93572076733, 0.282, 1.753),
(20000, 394.3096082210541, 70935.505934498942, 247420.44165526569, 0.652, 0.805),
(30000, 395.609810590744, 53071.402913595222, 300491.84456886229, 0.676, 0.799),
(40000, 397.47611570358276, 48321.845292368052, 348813.68986123026, 0.72, 0.66),
(50000, 395.34096598625183, 40999.378874286223, 389813.06873551605, 0.738, 0.551),
(60000, 401.6977367401123, 35660.300734644094, 425473.36947015941, 0.758, 0.58),
(70000, 398.51714992523193, 33570.145544499159, 459043.51501465996, 0.591, 0.79),
(80000, 401.7539846897125, 30185.401451637481, 489228.91646630055, 0.747, 0.528),
(90000, 395.2635736465454, 29294.284455117951, 518523.20092141867, 0.797, 0.457),
(100000, 402.2904529571533, 26673.949023655321, 545197.14994507493, 0.775, 0.465),
(110000, 395.0351116657257, 23982.480480110153, 569179.63042517914, 0.768, 0.472),
(120000, 397.06503224372864, 23846.053941475428, 593025.6843666482, 0.807, 0.46),
(130000, 395.8010222911835, 23392.645435867857, 616418.32980251557, 0.832, 0.372),
(140000, 397.7024347782135, 22739.860451050459, 639158.19025356683, 0.817, 0.415),
(150000, 396.5213043689728, 22267.820513239134, 661426.01076680096, 0.787, 0.63),
(160000, 398.7077257633209, 21073.34392842235, 682499.35469522094, 0.807, 0.375),
(170000, 396.9609274864197, 18248.826905872564, 700748.18160109594, 0.829, 0.37),
(180000, 397.702800989151, 18343.875095942909, 719092.05669704045, 0.821, 0.373),
(190000, 397.79462218284607, 16966.343103167957, 736058.39980020898, 0.787, 0.425),
(200000, 400.6418733596802, 16682.11270770993, 752740.51250791689, 0.839, 0.343),
(210000, 398.8454828262329, 15400.958569874832, 768141.47107778932, 0.838, 0.358),
(220000, 396.6677157878876, 13128.794710989298, 781270.2657887853, 0.829, 0.34),
(230000, 395.23467803001404, 13034.309145653258, 794304.57493443647, 0.854, 0.309),
(240000, 397.3487870693207, 14334.352341639948, 808638.92727607267, 0.852, 0.299),
(250000, 394.2665593624115, 12465.886949357184, 821104.81422542897, 0.839, 0.431),
(260000, 396.05741024017334, 14364.699666199893, 835469.51389162336, 0.825, 0.356),
(270000, 397.0469365119934, 12941.641016146945, 848411.15490776976, 0.838, 0.328),
(280000, 396.84088921546936, 11943.576911230573, 860354.731818998, 0.841, 0.32),
(290000, 395.6375231742859, 13465.279389338859, 873820.01120832865, 0.801, 0.5),
(300000, 395.3855996131897, 13327.468541589453, 887147.47974991531, 0.845, 0.31),
(310000, 394.77598428726196, 12481.758542215, 899629.23829212808, 0.812, 0.362),
(320000, 393.87998843193054, 13433.062998764841, 913062.30129089125, 0.841, 0.346),
(330000, 392.0714302062988, 10298.8115043907, 923361.11279527843, 0.845, 0.294),
(340000, 391.75767707824707, 9911.5822614472054, 933272.69505672401, 0.834, 0.326),
(350000, 391.46483182907104, 12138.11918156689, 945410.8142382903, 0.831, 0.309),
(360000, 388.6216061115265, 9684.110232683528, 955094.9244709753, 0.818, 0.341),
(370000, 388.2474811077118, 11492.727935093648, 966587.65240607329, 0.841, 0.311),
(380000, 390.10464358329773, 9884.9048977718794, 976472.55730384367, 0.845, 0.318),
(390000, 389.430100440979, 8935.4514898016205, 985408.00879364589, 0.818, 0.333),
