(10000, 43.77867102622986, 31362.666487290913, 147382.88203585814, 0.417, 1.183),
(20000, 38.1040825843811, 22897.737035754642, 187731.96959929404, 0.573, 0.971),
(30000, 38.57480478286743, 18783.432504127646, 212681.67805931804, 0.552, 0.981),
(40000, 38.19058084487915, 15779.442919340869, 232681.489886222, 0.559, 0.901),
(50000, 38.95835781097412, 13672.87526510781, 247143.37559752143, 0.631, 0.77),
(60000, 38.6633415222168, 11504.323179372579, 258386.42744052992, 0.467, 1.153),
(70000, 38.905205488204956, 10751.915980829928, 272539.77007497934, 0.643, 0.721),
(80000, 43.77867102622986, 31362.666487290913, 281639.9956874004, 0.623, 0.694),
(90000, 38.1040825843811, 22897.737035754642, 289976.70341223408, 0.605, 0.769),
(100000, 43.77867102622986, 31362.666487290913, 298224.14271584514, 0.625, 0.72),
(110000, 38.1040825843811, 22897.737035754642, 307201.97548946604, 0.612, 0.801),
(120000, 38.57480478286743, 18783.432504127646, 315774.18172570597, 0.608, 0.774),
(130000, 38.19058084487915, 15779.442919340869, 322107.27597911266, 0.552, 0.849),
(140000, 38.95835781097412, 13672.87526510781, 337745.47064434481, 0.648, 0.707),
(150000, 38.6633415222168, 11504.323179372579, 342914.52056595683, 0.658, 0.652),
