(10000, 403.167325258255, 203812.61281503274, 203812.61281503274, 0.32, 1.506),
(20000, 407.7284483909607, 71930.903428601567, 275743.51624363387, 0.594, 0.776),
(30000, 408.0443060398102, 49231.831206850882, 324975.34745048516, 0.672, 0.613),
(40000, 407.9652998447418, 42261.478765812368, 367236.82621630043, 0.691, 0.58),
(50000, 408.3149952888489, 37495.944185554457, 404732.77040185337, 0.733, 0.494),
(60000, 408.3828721046448, 29404.101506032894, 434136.87190788588, 0.744, 0.485),
(70000, 408.44083166122437, 28373.739873931987, 462510.61178182083, 0.755, 0.469),
(80000, 408.26111578941345, 27012.259476623847, 489522.87125844456, 0.763, 0.451),
(90000, 408.3084692955017, 27928.132140974918, 517451.00339941692, 0.784, 0.43),
(100000, 408.2157781124115, 21851.894567260249, 539302.8979666786, 0.786, 0.414),
(110000, 408.286504983902, 19827.408366490792, 559130.30633316853, 0.794, 0.415),
(120000, 408.4413592815399, 21159.604528036292, 580289.91086119553, 0.797, 0.412),
(130000, 407.05242228507996, 17833.245181338265, 598123.15604253602, 0.791, 0.426),
(140000, 406.49415254592896, 19067.888479842943, 617191.04452237708, 0.737, 0.51),
(150000, 406.4698178768158, 18091.152116558751, 635282.19663893571, 0.792, 0.427),
(160000, 406.2747621536255, 16801.334175331798, 652083.53081426455, 0.815, 0.393),
(170000, 406.48668599128723, 21722.134866498269, 673805.66568076203, 0.787, 0.445),
(180000, 406.3790616989136, 14479.699308512661, 688285.3649892743, 0.785, 0.459),
(190000, 406.27345871925354, 13695.867379191694, 701981.23236846249, 0.784, 0.462),
(200000, 406.3763644695282, 12442.534089634628, 714423.7664580968, 0.799, 0.449),
(210000, 406.23238158226013, 11396.392179010909, 725820.15863710607, 0.776, 0.478),
(220000, 406.24274468421936, 12194.127509127662, 738014.28614622634, 0.774, 0.485),
(230000, 405.83796095848083, 26080.356312177806, 764094.64245840674, 0.708, 0.78),
(240000, 406.0772936344147, 19062.166017217038, 783156.80847562698, 0.729, 0.737),
(250000, 406.0892879962921, 17207.489998089193, 800364.29847371916, 0.795, 0.438),
(260000, 406.1887471675873, 9895.4029460021138, 810259.70141971728, 0.788, 0.449),
(270000, 405.87370896339417, 10117.686443298273, 820377.38786301389, 0.736, 0.547),
(280000, 405.8895936012268, 8002.5977887877207, 828379.98565180146, 0.783, 0.454),
(290000, 404.61379313468933, 10725.934337819652, 839105.91998962371, 0.746, 0.526),
(300000, 404.08302092552185, 13295.24034730134, 852401.16033692344, 0.769, 0.496),
(310000, 403.28715896606445, 8611.1025330526536, 861012.26286998019, 0.774, 0.473),
(320000, 403.24432706832886, 9468.8161448723204, 870481.07901485311, 0.793, 0.446),
(330000, 403.2766206264496, 9578.2658997740327, 880059.34491462586, 0.788, 0.441),
(340000, 403.15084433555603, 8198.3765355430151, 888257.72145016899, 0.815, 0.409),
(350000, 400.40174102783203, 10162.09783258788, 898419.81928275852, 0.773, 0.471),
(360000, 398.904904127121, 10028.35737361777, 908448.17665637413, 0.784, 0.472),
(370000, 397.6238443851471, 5371.8021696506767, 913819.97882602119, 0.797, 0.445),
(380000, 397.61326718330383, 10011.489366616957, 923831.46819263499, 0.812, 0.428),
