(10000, 408.0032534599304, 138722.25298495867, 138722.25298495867, 0.555, 1.025),
(20000, 409.79818868637085, 42894.276274994125, 181616.5292599533, 0.792, 0.442),
(30000, 410.131632566452, 30380.184044570738, 211996.71330452539, 0.85, 0.335),
(40000, 408.22045636177063, 28675.345186324845, 240672.05849085015, 0.865, 0.326),
(50000, 408.30344104766846, 23426.175323798907, 264098.23381464847, 0.845, 0.314),
(60000, 408.22682929039, 21970.147289021901, 286068.38110367133, 0.805, 0.522),
(70000, 408.2101938724518, 19908.312470898498, 305976.69357457204, 0.885, 0.204),
(80000, 408.3488998413086, 16262.51307579047, 322239.20665036183, 0.889, 0.229),
(90000, 408.1800343990326, 12970.022700397691, 335209.22935075813, 0.887, 0.211),
(100000, 407.3791153430939, 10677.561411758365, 345886.79076251964, 0.892, 0.194),
(110000, 405.3552620410919, 10851.860397768904, 356738.65116028942, 0.929, 0.115),
(120000, 404.5162148475647, 8530.9763426979589, 365269.62750298815, 0.918, 0.143),
(130000, 404.28691959381104, 11027.374892068136, 376297.00239505683, 0.918, 0.132),
(140000, 403.83088755607605, 10837.127579905173, 387134.12997495907, 0.934, 0.109),
(150000, 404.03081941604614, 7888.7720397190142, 395022.90201467986, 0.937, 0.104),
(160000, 403.79359221458435, 6220.9564785247376, 401243.85849320464, 0.944, 0.104),
(170000, 403.9618184566498, 6993.7755326761408, 408237.63402588188, 0.919, 0.124),
(180000, 403.9847800731659, 8880.7117155150027, 417118.3457413966, 0.941, 0.096),
(190000, 403.7600004673004, 6024.900207285481, 423143.24594868015, 0.924, 0.12),
(200000, 403.9107642173767, 6851.3988877152524, 429994.64483639639, 0.951, 0.092),
(210000, 405.26537680625916, 4813.6238887787667, 434808.26872517489, 0.935, 0.103),
(220000, 413.90886664390564, 4459.9759793555841, 439268.24470453075, 0.947, 0.101),
(230000, 412.6540250778198, 4850.4310816365651, 444118.67578616651, 0.926, 0.143),
(240000, 416.76543736457825, 4257.0227913447006, 448375.69857750996, 0.945, 0.103),
(250000, 412.75588297843933, 5193.6516733154558, 453569.35025082639, 0.937, 0.137),
(260000, 411.2659156322479, 6537.3952548652987, 460106.74550569424, 0.935, 0.115),
(270000, 413.7539105415344, 5535.709264100451, 465642.45476979535, 0.934, 0.106),
(280000, 412.26319336891174, 6642.8830940697771, 472285.33786386083, 0.932, 0.116),
(290000, 411.9838197231293, 4646.1869148104552, 476931.52477867081, 0.95, 0.092),
(300000, 411.7274434566498, 3856.306435751706, 480787.83121442201, 0.94, 0.094),
(310000, 408.401163816452, 2994.4781316919562, 483782.30934611673, 0.946, 0.088),
