(10000, 46.04003667831421, 39360.805597066988, 231626.33926989065, 0.098, 3.413),
(20000, 39.966028690338135, 31852.859689608678, 337143.48833263171, 0.156, 2.788),
(30000, 40.57809400558472, 27513.922080408247, 390710.20826238132, 0.213, 2.327),
(40000, 40.64196443557739, 24978.122993124707, 418972.96321085939, 0.24, 2.297),
(50000, 41.70193934440613, 22539.423529669933, 436789.63540986052, 0.271, 2.12),
(60000, 41.0643413066864, 20382.93388299338, 452340.0554188292, 0.253, 2.281),
(70000, 42.59349322319031, 18222.56863211828, 464306.73403616494, 0.318, 2.006),
(80000, 42.066999673843384, 15835.533527963171, 472608.68263244821, 0.299, 2.039),
(90000, 42.642064332962036, 15454.453623618758, 479199.94848329824, 0.32, 1.97),
(100000, 41.870240926742554, 15485.715713319529, 485582.11481522414, 0.278, 2.136),
(110000, 46.04003667831421, 39360.805597066988, 493869.73716031318, 0.288, 2.129),
(120000, 39.966028690338135, 31852.859689608678, 503326.99562701507, 0.318, 2.093),
(130000, 40.57809400558472, 27513.922080408247, 508338.31565508014, 0.31, 2.01),
(140000, 40.64196443557739, 24978.122993124707, 512758.20708808536, 0.325, 1.982),
